name,n_samples,random_mean_accuracy,random_ci_low,random_ci_high
edv_frame_random_seed_2020,100,0.49953800000000004,0.4,0.6
edv_frame_random_seed_2021,100,0.499746,0.4,0.6
edv_frame_random_seed_2022,100,0.499992,0.4,0.6
edv_frame_random_seed_2023,100,0.499733,0.4,0.6
edv_frame_random_seed_2024,100,0.499834,0.4,0.6
edv_frame_random_seed_2025,100,0.500005,0.4,0.6
edv_frame_random_seed_2026,100,0.500912,0.4,0.6
edv_frame_random_seed_2027,100,0.500031,0.4,0.6
edv_frame_random_seed_2028,100,0.5003320000000001,0.4,0.6
edv_frame_random_seed_2029,100,0.49938799999999994,0.4,0.6
esv_frame_random_seed_2020,100,0.5005689999999999,0.4,0.6
esv_frame_random_seed_2021,100,0.500208,0.4,0.6
esv_frame_random_seed_2022,100,0.500048,0.4,0.6
esv_frame_random_seed_2023,100,0.5009650000000001,0.4,0.6
esv_frame_random_seed_2024,100,0.5000190000000001,0.4,0.6
esv_frame_random_seed_2025,100,0.4990500000000001,0.4,0.6
esv_frame_random_seed_2026,100,0.500951,0.4,0.6
esv_frame_random_seed_2027,100,0.5010060000000002,0.4,0.6
esv_frame_random_seed_2028,100,0.500193,0.4,0.6
esv_frame_random_seed_2029,100,0.49935100000000004,0.4,0.6
non_med_segmented_edv_frame_random_seed_2020,100,0.499825,0.4,0.6
non_med_segmented_edv_frame_random_seed_2021,100,0.500004,0.4,0.6
non_med_segmented_edv_frame_random_seed_2022,100,0.499716,0.4,0.6
non_med_segmented_edv_frame_random_seed_2023,100,0.5001570000000001,0.4,0.6
non_med_segmented_edv_frame_random_seed_2024,100,0.49931400000000004,0.4,0.6
non_med_segmented_edv_frame_random_seed_2025,100,0.4998450000000001,0.4,0.6
non_med_segmented_edv_frame_random_seed_2026,100,0.50005,0.4,0.6
non_med_segmented_edv_frame_random_seed_2027,100,0.49997700000000006,0.4,0.6
non_med_segmented_edv_frame_random_seed_2028,100,0.500078,0.4,0.6
non_med_segmented_edv_frame_random_seed_2029,100,0.49893000000000004,0.4,0.6
non_med_segmented_esv_frame_random_seed_2020,100,0.500916,0.4,0.6
non_med_segmented_esv_frame_random_seed_2021,100,0.500079,0.4,0.6
non_med_segmented_esv_frame_random_seed_2022,100,0.499721,0.4,0.6
non_med_segmented_esv_frame_random_seed_2023,100,0.49941199999999997,0.4,0.6
non_med_segmented_esv_frame_random_seed_2024,100,0.5001200000000001,0.4,0.6
non_med_segmented_esv_frame_random_seed_2025,100,0.5003480000000001,0.4,0.6
non_med_segmented_esv_frame_random_seed_2026,100,0.500404,0.4,0.6
non_med_segmented_esv_frame_random_seed_2027,100,0.4998389999999999,0.4,0.6
non_med_segmented_esv_frame_random_seed_2028,100,0.49937600000000004,0.4,0.6
non_med_segmented_esv_frame_random_seed_2029,100,0.499974,0.4,0.6
segmented_edv_frame_random_seed_2020,100,0.499909,0.4,0.6
segmented_edv_frame_random_seed_2021,100,0.49967799999999996,0.4,0.6
segmented_edv_frame_random_seed_2022,100,0.49961900000000004,0.4,0.6
segmented_edv_frame_random_seed_2023,100,0.4999219999999999,0.4,0.6
segmented_edv_frame_random_seed_2024,100,0.5001329999999999,0.4,0.6
segmented_edv_frame_random_seed_2025,100,0.500642,0.4,0.6
segmented_edv_frame_random_seed_2026,100,0.500451,0.4,0.6
segmented_edv_frame_random_seed_2027,100,0.499913,0.4,0.6
segmented_edv_frame_random_seed_2028,100,0.500093,0.4,0.6
segmented_edv_frame_random_seed_2029,100,0.5002880000000001,0.4,0.6
segmented_esv_frame_random_seed_2020,100,0.49950100000000003,0.4,0.6
segmented_esv_frame_random_seed_2021,100,0.5003920000000001,0.4,0.6
segmented_esv_frame_random_seed_2022,100,0.5002089999999999,0.4,0.6
segmented_esv_frame_random_seed_2023,100,0.500221,0.4,0.6
segmented_esv_frame_random_seed_2024,100,0.500653,0.4,0.6
segmented_esv_frame_random_seed_2025,100,0.5000450000000001,0.4,0.6
segmented_esv_frame_random_seed_2026,100,0.5002530000000001,0.4,0.6
segmented_esv_frame_random_seed_2027,100,0.5014490000000001,0.4,0.6
segmented_esv_frame_random_seed_2028,100,0.49961400000000006,0.4,0.6
segmented_esv_frame_random_seed_2029,100,0.49973500000000004,0.4,0.6
