task_group,task_type,seed,random_n_samples,random_accuracy,random_ci_low,random_ci_high
edv_frame,edv_frame_random_seed_2020,2020,100,0.499538,0.4,0.6
edv_frame,edv_frame_random_seed_2021,2021,100,0.499746,0.4,0.6
edv_frame,edv_frame_random_seed_2022,2022,100,0.499992,0.4,0.6
edv_frame,edv_frame_random_seed_2023,2023,100,0.499733,0.4,0.6
edv_frame,edv_frame_random_seed_2024,2024,100,0.499834,0.4,0.6
edv_frame,edv_frame_random_seed_2025,2025,100,0.500005,0.4,0.6
edv_frame,edv_frame_random_seed_2026,2026,100,0.500912,0.4,0.6
edv_frame,edv_frame_random_seed_2027,2027,100,0.500031,0.4,0.6
edv_frame,edv_frame_random_seed_2028,2028,100,0.5003320000000001,0.4,0.6
edv_frame,edv_frame_random_seed_2029,2029,100,0.4993879999999999,0.4,0.6
esv_frame,esv_frame_random_seed_2020,2020,100,0.5005689999999999,0.4,0.6
esv_frame,esv_frame_random_seed_2021,2021,100,0.500208,0.4,0.6
esv_frame,esv_frame_random_seed_2022,2022,100,0.500048,0.4,0.6
esv_frame,esv_frame_random_seed_2023,2023,100,0.5009650000000001,0.4,0.6
esv_frame,esv_frame_random_seed_2024,2024,100,0.5000190000000001,0.4,0.6
esv_frame,esv_frame_random_seed_2025,2025,100,0.4990500000000001,0.4,0.6
esv_frame,esv_frame_random_seed_2026,2026,100,0.500951,0.4,0.6
esv_frame,esv_frame_random_seed_2027,2027,100,0.5010060000000002,0.4,0.6
esv_frame,esv_frame_random_seed_2028,2028,100,0.500193,0.4,0.6
esv_frame,esv_frame_random_seed_2029,2029,100,0.499351,0.4,0.6
non_medical_edv_frame,non_medical_edv_frame_random_seed_2020,2020,100,0.499825,0.4,0.6
non_medical_edv_frame,non_medical_edv_frame_random_seed_2021,2021,100,0.500004,0.4,0.6
non_medical_edv_frame,non_medical_edv_frame_random_seed_2022,2022,100,0.499716,0.4,0.6
non_medical_edv_frame,non_medical_edv_frame_random_seed_2023,2023,100,0.5001570000000001,0.4,0.6
non_medical_edv_frame,non_medical_edv_frame_random_seed_2024,2024,100,0.499314,0.4,0.6
non_medical_edv_frame,non_medical_edv_frame_random_seed_2025,2025,100,0.4998450000000001,0.4,0.6
non_medical_edv_frame,non_medical_edv_frame_random_seed_2026,2026,100,0.50005,0.4,0.6
non_medical_edv_frame,non_medical_edv_frame_random_seed_2027,2027,100,0.499977,0.4,0.6
non_medical_edv_frame,non_medical_edv_frame_random_seed_2028,2028,100,0.500078,0.4,0.6
non_medical_edv_frame,non_medical_edv_frame_random_seed_2029,2029,100,0.49893,0.4,0.6
non_medical_esv_frame,non_medical_esv_frame_random_seed_2020,2020,100,0.500916,0.4,0.6
non_medical_esv_frame,non_medical_esv_frame_random_seed_2021,2021,100,0.500079,0.4,0.6
non_medical_esv_frame,non_medical_esv_frame_random_seed_2022,2022,100,0.499721,0.4,0.6
non_medical_esv_frame,non_medical_esv_frame_random_seed_2023,2023,100,0.4994119999999999,0.4,0.6
non_medical_esv_frame,non_medical_esv_frame_random_seed_2024,2024,100,0.5001200000000001,0.4,0.6
non_medical_esv_frame,non_medical_esv_frame_random_seed_2025,2025,100,0.5003480000000001,0.4,0.6
non_medical_esv_frame,non_medical_esv_frame_random_seed_2026,2026,100,0.500404,0.4,0.6
non_medical_esv_frame,non_medical_esv_frame_random_seed_2027,2027,100,0.4998389999999999,0.4,0.6
non_medical_esv_frame,non_medical_esv_frame_random_seed_2028,2028,100,0.499376,0.4,0.6
non_medical_esv_frame,non_medical_esv_frame_random_seed_2029,2029,100,0.499974,0.4,0.6
segmented_edv_frame,segmented_edv_frame_random_seed_2020,2020,100,0.499909,0.4,0.6
segmented_edv_frame,segmented_edv_frame_random_seed_2021,2021,100,0.4996779999999999,0.4,0.6
segmented_edv_frame,segmented_edv_frame_random_seed_2022,2022,100,0.499619,0.4,0.6
segmented_edv_frame,segmented_edv_frame_random_seed_2023,2023,100,0.4999219999999999,0.4,0.6
segmented_edv_frame,segmented_edv_frame_random_seed_2024,2024,100,0.5001329999999999,0.4,0.6
segmented_edv_frame,segmented_edv_frame_random_seed_2025,2025,100,0.500642,0.4,0.6
segmented_edv_frame,segmented_edv_frame_random_seed_2026,2026,100,0.500451,0.4,0.6
segmented_edv_frame,segmented_edv_frame_random_seed_2027,2027,100,0.499913,0.4,0.6
segmented_edv_frame,segmented_edv_frame_random_seed_2028,2028,100,0.500093,0.4,0.6
segmented_edv_frame,segmented_edv_frame_random_seed_2029,2029,100,0.5002880000000001,0.4,0.6
segmented_esv_frame,segmented_esv_frame_random_seed_2020,2020,100,0.499501,0.4,0.6
segmented_esv_frame,segmented_esv_frame_random_seed_2021,2021,100,0.5003920000000001,0.4,0.6
segmented_esv_frame,segmented_esv_frame_random_seed_2022,2022,100,0.5002089999999999,0.4,0.6
segmented_esv_frame,segmented_esv_frame_random_seed_2023,2023,100,0.500221,0.4,0.6
segmented_esv_frame,segmented_esv_frame_random_seed_2024,2024,100,0.500653,0.4,0.6
segmented_esv_frame,segmented_esv_frame_random_seed_2025,2025,100,0.5000450000000001,0.4,0.6
segmented_esv_frame,segmented_esv_frame_random_seed_2026,2026,100,0.5002530000000001,0.4,0.6
segmented_esv_frame,segmented_esv_frame_random_seed_2027,2027,100,0.5014490000000001,0.4,0.6
segmented_esv_frame,segmented_esv_frame_random_seed_2028,2028,100,0.499614,0.4,0.6
segmented_esv_frame,segmented_esv_frame_random_seed_2029,2029,100,0.499735,0.4,0.6
